Name,Date,Month,Event Type,Event Status,Event Size,Speaker / Resource,Resource Status,Lifelong Learning Categories,Topic Category,Target Audience,Event Category,Event Description,COR / Open to Region,City/Country,Collaboration w/other Chapters,Notes / Comments,Launch Timing,Day Chair Name,Chapter Name,Day Chair Name 2
Goldman Sachs - Investing and Market Insights,2026-11-03,November,Conference,Planning Stage,Medium (15–50),Goldman Sachs,Under Negotiation,Business Leadership,Leadership,"Members,Spouses (Mixed)",Learning,Goldman Sachs YPO Partnerships Program,Not Open to Region,"Dubai, UAE",No,,2026-08-01,TBC,YPO Dubai Integrated,
Realism and the Tragedy of Power with Professor John Mearsheimer,2026-11-11,November,Virtual/Hybrid,Confirmed,Medium (15–50),Prof. John Mearsheimer ,Confirmed,Personal Development,Geopolitics,"Members,Spouses (Mixed)",Learning,"A thought-provoking session on geopolitics and great power rivalry with Professor John Mearsheimer, exploring how global power shifts are reshaping today’s world order.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,Mona Ataya,YPO Dubai Integrated,
An afternoon of Breathwork and Sound healing ,2026-11-14,November,Experiences,Confirmed,Small (10–15),,,Personal Development,Other,"Members,Spouses (Mixed)",Learning,"An immersive afternoon of Yoga and Breathwork designed to restore balance, calm the mind, and energise the body.",Not Open to Region,"Dubai, UAE",No,,2026-08-01,Deepti Taimni,YPO Dubai Integrated,
Sleep Smarter. Lead Stronger With Dr Michael Breus,2026-11-19,November,Fireside Chat,Confirmed,XXL (100+),Dr. Michael Breus,Pending,Personal Development,Other,"Members,Spouses (Mixed)",Learning,"Sleep optimization strategies, tools, and insights from Dr. Michael Breus on leveraging your chronotype to maximise energy, performance, and wellbeing.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,"Nitesh Shewakramani
",YPO Dubai Integrated,
Harvard Debate Council,2026-12-02,December,Training,Confirmed,Medium (15–50),Harvard Prof,Under Negotiation,Family Focus,Other,YNG,Learning,YNG learning public speaking and debate skills,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Vandana Gandhi,YPO Dubai Integrated,
Using the Enneagram to Enhance Your Relationship. ,2026-12-10,December,Fireside Chat,Confirmed,Small (10–15),Anesh Jagtiati,Confirmed,Personal Development,Relationships,"Members,Spouses (Mixed)",Learning,The Enneagram is a system that helps build empathy and connection as well as self-mastery/EQ/self-awareness,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Barbara Soltysinska ,YPO Dubai Integrated,
Japanese Cooking Class & Kombucha,2027-01-08,January,Experiences,Planning Stage,Small (10–15),Haru Meghraj,Confirmed,Personal Development,Other,Spouses (Mixed),Learning,"Discover the art of Japanese cooking while learning to brew kombucha in a fun, hands-on culinary experience.",Not Open to Region,"Dubai, UAE",No,,2026-08-01,Haru Meghraj,YPO Dubai Integrated,
Seeing The Unseen with Jianggan Li,2027-01-09,January,Other,Confirmed,Large (50-100),Jianggan Li,Under Negotiation,Personal Development,Other,"Spouses (Mixed),Members",Learning,"An insightful session on building mobility, strength, and long-term health with Vonda Wright.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,TBC,YPO Dubai Integrated,
Running Coach Event,2027-01-24,January,Other,Confirmed,Medium (15–50),Shane Benzie,Confirmed,Adventures and Experiences,Other,"Gold Members,Spouses (Mixed)","Fun,Connection",Physical workshop on running technique and training for long distance,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Salim Dewji,YPO Dubai Integrated,
Intro to Peptides,2027-03-16,March,Other,Planning Stage,Medium (15–50),Harjit Singh,Pending,Adventures and Experiences,Longevity,"Members,Spouses (Mixed)",Learning,"An introduction to Peptides, what they are, the different types, how they can help us and what to be wary of.",Not Open to Region,,No,,2027-01-15,Nitesh Shewakramani,YPO Dubai Integrated,
Scaling Excellence and the friction project with Professor Huggy Rao,2027-05-22,May,Training,Confirmed,XXL (100+),Huggy Rao,Confirmed,Business Leadership,Leadership,"Members,Spouses (Mixed)",Learning,"An engaging session with Professor Huggy Rao exploring how leaders can scale excellence, remove destructive friction, and build stronger, more effective organizations.",Not Open to Region,,No,,2027-03-15,Hala Ghandour,YPO Dubai Integrated,
Afternoon Tea with Dr Bernadette Abraham on Decoding Food Labels ,2027-06-01,June,Other,Planning Stage,Medium (15–50),Bernadette Abraham,Confirmed,Business Innovation,Other,"Members,Spouses (Mixed)",Learning,"Marketing claims can be misleading, but ingredient lists don't lie. In this interactive workshop, participants will master the art of reading food and personal care product labels, covering key red-flag ingredients to avoid, hidden additives, and what certification labels actually mean. Attendees will walk away with practical skills to confidently navigate grocery and personal care aisles with ease",Not Open to Region,,No,,2027-04-15,Niousha Ehsan,YPO Dubai Integrated,
Driving Performance with HBD Prof. VG Narayanan,2026-09-24,September,Training,Confirmed,XXL (100+),VG Narayanan,Confirmed,Family Focus,Relationships,Spouses (Mixed),Learning,Hands-on workshop on new digital tools and platforms.,Open to Region,"Dubai, UAE",Yes,"Confirmed collab event with Emirates
",2026-07-31,"Atheeqe Ansari
",YPO Dubai Downtown Integrated,
Scaling Up Event Joint with YPO Dubai,2026-10-22,October,Milestone Event,Confirmed,Large (50-100),Professor,Confirmed,Business Growth,Investing,Members,Learning,Interactive case studies and Q&A.,Not Decided Yet,"Dubai, UAE",Yes,,2026-08-15,TBC,YPO Dubai Downtown Integrated,
University Admission ,2026-10-17,October,Fireside Chat,Planning Stage,Medium (15–50),Exploring,Under Negotiation,Generational Success,Parenting,"Members,Spouses (Mixed),YNG",Learning,,Not Open to Region,"Dubai, UAE",TBC,,,TBC,YPO Dubai Downtown Integrated,
 Family Constellations,,November,Experiences,Planning Stage,Medium (15–50),Exploring Rima Zanoun,Under Negotiation,Personal Development,Spirituality,Family,Connection,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown Integrated,
Leadership Under Pressure ITB or Roundtable,2026-12-16,December,Roundtable,Planning Stage,Small (10–15),Exploring,Under Negotiation,Business Innovation,Leadership,Members,Learning,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown Integrated,
Family Business & Legacy -Succession Workshop,,December,Training,Planning Stage,Medium (15–50),Exploring,Under Negotiation,Generational Success,Family Business,Family,Connection,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown Integrated,
F1 Experience: Tentative,2026-12-04,December,Experiences,Planning Stage,Small (10–15),Member Day Chair,Wishlist,Adventures and Experiences,Other,"Members,Family",Fun,,Not Open to Region,Abu Dhabi,No,Socials,,TBC,YPO Dubai Downtown Integrated,
Business Exit and Life Transition,2027-01-06,January,Fireside Chat,Planning Stage,Medium (15–50),Exploring,Under Negotiation,Generational Success,Family Business,"Members,Spouses (Mixed)",Learning,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown Integrated,
Consciousness & Quantum  Wellness Experiential Event,2025-11-03,March,Experiences,Planning Stage,Large (50-100),Dr. Williams,Confirmed,Business Growth,AI & Technology,"Spouses (Mixed),Members",Learning,,Not Decided Yet,"Dubai, UAE",TBC,,,TBC,YPO Dubai Downtown Integrated,
Taking Care Of Old Parents (with spouses),2027-03-19,March,Fireside Chat,Planning Stage,Small (10–15),Explorig Doctors ,Pending,Family Focus,Longevity,"Members,Spouses (Mixed),Family",Learning,,Not Open to Region,"Dubai, UAE",No,,,TBC,YPO Dubai Downtown Integrated,
HBS Event,2025-09-24,September,Conference,Confirmed,XXL (100+),VG Narayanan,Confirmed,Business Innovation,"Entrepreneurship,Leadership","Spouses (Mixed),Members",Learning,Hands-on session that will transform your business perspective,Not Open to Region,"Dubai, UAE",Yes,,2025-08-24,Amit Dhamani,YPO Emirates Integrated,
AI in the Region,2026-10-22,October,Fireside Chat,Confirmed,Large (50-100),Ashish Koshy,Confirmed,Business Innovation,AI & Technology,Members,Learning,Learn about AI in a different perspective,Not Open to Region,"Dubai, UAE",No,,,,YPO Emirates Integrated,
"The World, Reordered",2026-10-24,October,Fireside Chat,Confirmed,Large (50-100),Charles Myers,Confirmed,Business Innovation,Geopolitics,Members,Learning,America First. A New Middle East. China. Capital. What Comes Next?,Not Open to Region,"Dubai, UAE",No,,,,YPO Emirates Integrated,
HBS Event,2027-01-19,January,Conference,Confirmed,Large (50-100),Ramon Casadesus-Masanell,Confirmed,Personal Development,Leadership,"Members,Spouses (Mixed)",Learning,Full-day event; classroom lecture style,Not Open to Region,"Dubai, UAE",No,,,,YPO Emirates Integrated,
Stanford Event,2027-05-22,May,Conference,Confirmed,XXL (100+),Huggy Rao,Confirmed,Business Leadership,Leadership,"Members,Spouses (Mixed)",Learning,Hands-on session that will transform your business perspective,Not Open to Region,"Dubai, UAE",Yes,,,,YPO Emirates Integrated,
"The New World (dis)Order: Navigating Geopolitical Risk, Crisis, and Opportunity for Business",2026-09-25,September,Milestone Event,Confirmed,Large (50-100),Marco Vicenzino,Confirmed,Business Growth,"Investing,Geopolitics","Spouses (Mixed),Members,YNG",Learning,The Middle East is being repriced in real time — hear geopolitical strategist Marco Vicenzino break down what it means for your capital,Open to Region,Karachi Pakistan,Yes,Joint with YPO Pakistan,2026-08-29,Amin Hashwani,YPO Gold Pakistan,
Stillness at Altitude,2026-10-07,October,Retreat,Planning Stage,Medium (15–50),TBC,Under Negotiation,Adventures and Experiences,Experiential,"Spouses (Mixed),Members",Connection,"Chapter health & wellness retreat- Four nights of deep restoration with world-class wellness therapists— bodywork, breath, movement, and silence — paired with farm-to-table cuisine drawn from Skardu's valleys. Skardu is located in Gilgit Baltistan.
",Not Open to Region,Skardu in Northern Pakistan,No,,2026-08-01,"Mariam & Shehriar Ashraf , fiza Khan and Imran Habib",YPO Gold Pakistan,
AI for the C-suite,2027-01-14,January,Training,Planning Stage,Large (50-100),Ross Hendin,Pending,Business Innovation,AI & Technology,"Spouses (Mixed),Members,YNG",Learning,A hands-on executive workshop designed to help C-suite leaders harness AI for strategic impact and growth.,Open to Region,"Karachi, Pakistan",Yes,Joint with YPO Pakistan,2026-12-01,Danish Iqbal,YPO Gold Pakistan,
Reimagining Date Night,2027-04-03,April,Experiences,Confirmed,Medium (15–50),Anna Kelberg,Confirmed,Personal Development,Relationships,"Members,Spouses (Mixed)",Connection,"A working session for couples on attention, intimacy, and the small architectures of a long marriage",Not Open to Region,"Karachi, Pakistan",No,,2027-02-01,TBC,YPO Gold Pakistan,
Sakura in the Capital,2027-04-21,April,Retreat,Planning Stage,Medium (15–50),TBC,Wishlist,Adventures and Experiences,Experiential,"Members,Spouses (Mixed)","Learning,Connection","Twenty couples, two cities, one bloom. The chapter placed inside the rarest week of the Japanese year —Tokyo's hospitality, Kyoto's craft, all under the Sakura",Not Open to Region,Japan,No,,2026-11-01,Asif Tata & Tasleema Adam,YPO Gold Pakistan,
"Yes, And ",2027-05-07,May,Experiences,Planning Stage,Medium (15–50),TBC,Pending,Personal Development,Creativity,"Members,Spouses (Mixed)",Experiential,"An engaging session that uses improv principles to strengthen leadership, creativity, and real-world business skills",Not Decided Yet,"Karachi, Pakistan",No,,2027-04-15,Shehriar Ashraf,YPO Gold Pakistan,
Learning Event - AI is Changing Everything. Are You Ready?,2026-09-12,September ,Training,Scheduled,Medium (15-50),,Wishlist,Business Growth,Leadership,Members. Spouses,Learning,"AI is Changing Everything. Are You Ready?

Artificial Intelligence is reshaping industries, redefining work, and creating entirely new business models. Discover how leaders can harness AI to drive growth, increase productivity, and remain competitive in an increasingly automated world",Open to region,Pakistan,,,,,YPO Indus Integrated,
The Future of Health & Longevity,2026-12-05,December,Training,Scheduled,Medium (15-50),,Wishlist,Personal Development,Health,"Members,Spouses",Learning,"The Future of Health & Longevity

Sustained leadership requires sustained performance. Discover the latest insights in longevity, executive wellness, cognitive health, and peak performance to help leaders remain energized and effective for decades to come.",Open to region,Pakistan,,,,,YPO Indus Integrated,
Annual Flagship Learning Event,2027-04-10,April,Training,Scheduled,Medium (15-50),,,Business Innovation,Technology,"Members,Spouses,YNGs",Learning,"Lead Through Change Summit

The world’s most influential leaders don’t merely survive disruption—they use it as a catalyst for growth. Explore the ideas, strategies, and leadership principles that help organizations become resilient, innovative, and future-ready.",Open to Region,Pakistan,,,,,YPO Indus Integrated,
The Future of Solar Energy: Innovation & Opportunities ,2026-10-25,October,Conference,TBD,Medium (15–50),,Wishlist,Business Innovation,"Technology,Innovation","Spouses (Mixed),Members",Learning,,Not Decided Yet,TBD,TBC,,2026-09-30,Not Decided Yet,YPO Iraq Integrated,
Health & Wellness: Building a Balanced Lifestyle,2027-01-20,January,Training,TBD,Small (10–15),Fady Hannah Shamouni,Under Negotiation,Personal Development,Longevity,"Members,Spouses (Mixed)",Learning,,Not Decided Yet,TBD,No,,2026-12-20,TBD,YPO Iraq Integrated,
Financial Management & Strategic Leadership ,2027-03-10,March,Training,TBD,Small (10–15),,Wishlist,Business Leadership,"Finance,Leadership","Members,Spouses (Mixed)","Learning,Connection",,Not Decided Yet,TBD,No,Panel discussion with senior leaders.,2027-02-10,TBD,YPO Iraq Integrated,
Negotiation Skills and Family Business Governance,2027-05-05,May,Training,TBD,Small (10–15),,Wishlist,Business Growth,"Family Business,Managment","Members,Spouses (Mixed)",Learning,,Not Decided Yet,TBD,TBC,,2027-04-05,TBD,YPO Iraq Integrated,
Economic Outlook: Navigating Risk & Opportunity in Todays Ecnomic Reality,2026-11-01,November,Conference,Planning Stage,Medium (15–50),"Federico Ceresole, Managing Director and leads the Portfolio Advisory Group in EMEA",Pending,Business Growth,"Investing,Leadership,Geopolitics,Sustainability","Members,Spouses (Mixed),YNG",Learning,latest Investment Strategy Group outlook and what it signals for decision-makers,Not Decided Yet,"Amman, Jordan",No,Q2,2026-10-01,Yousef & Dima Shamoun,YPO Jordan Integrated,
Factory visit,2026-10-21,October,Experiences,Scheduled,Medium (15–50),CEO,Confirmed,Business Innovation,Entrepreneurship,"Spouses (Mixed),YNG,Members",Learning,Hands-on workshop on new digital tools and platforms.,Open to Region,"Beirut, Lebanon",TBC,"innovative protein chips and bar, keynote and them tour
",,Othman Boodai,YPO Kuwait Integrated,
