Name,Date,Month,Event Type,Event Status,Event Size,Speaker / Resource,Resource Status,Lifelong Learning Categories,Topic Category,Target Audience,Event Category,Event Description,COR / Open to Region,City/Country,Collaboration w/other Chapters,Notes / Comments,Launch Timing,Day Chair Name,Chapter Name,Day Chair Name 2
Fishing in the South,,May,Experiences,Planning Stage,Medium (15–50),Marine Biologist,Wishlist,Adventures and Experiences,Sustainability,"Members,Family",Fun,"* Two-format weekend: deep sea by day, fireside forum stir-fry by night
* Capped to keep the bonding intimate to 20
* marine biologist for a short session on Red Sea conservation",Not Open to Region,Marsa Allam / Egypt,No,"CORE event, 30 members plus child
* Two fishing liveaboards from Marsa Allam",2027-03-01,Mounir Awad / Khaled Shetta,YPO Cairo,
Dahab / Blue Hole + Breathing retreat,,,Retreat,Confirmed,Medium (15–50),World-class freediver or breathwork instructor,Wishlist,Adventures and Experiences,Wellness,"Members,Spouses (Mixed)","Learning,Fun","* Physical challenge meets mindfulness.
* Freediving instruction paired with daily breathwork (Wim Hof or pranayama tradition)
* a world-class freediver or breathwork instructor as the anchor resource
* Pair the Blue Hole experience with a sunset reflection circle on fear and trust
",Not Open to Region,Dahab / Egypt,No,"CORE Event. Budget 20,000+ co.payment for activities",2026-09-15,Kamal Zaki / Hend Hafez,YPO Cairo,
Art Basel,2027-06-10,June,Experiences,Confirmed,Medium (15–50),Alia Hamza,Confirmed,Adventures and Experiences,Art,"Members,Family",Fun,"Curated group trip to Art Basel with an Egyptian artist or curator as second voice. Bonding through shared viewing, then long dinners.",Open to Region,Basel / Switzerland,Yes,,2027-04-10,Nora Holi or Alia Hamza,YPO Cairo,
HBS flagship - Back to School ,2027-04-15,April,Training,Confirmed,XXL (100+),Boris Groyceberg,Confirmed,Business Leadership,Leadership,"Spouses (Mixed),Members",Learning,"* Member-pay, breakeven model with HBS resource.
* Special dinner for members and spouses. 
* Structured study groups so members mix beyond their forum/ network of friends in the chapter 
* Up to 5 executives per member. Total of 150 max.



",Open to Region,"Cairo, Egypt",Yes,"CORE event. Budget 25,000 
Boris fee USD 150K. Third day will by paid by EVA group for private consultation so cost on ypo is 100 USD plus expenses ",2026-04-15,Mohamed Kamel,YPO Cairo,
AI - Part 1,,January,Training,Planning Stage,Large (50-100),,Under Negotiation,Business Innovation,AI & Technology,"Members,Family",Learning,"The anchor business-transformation
Part 1: What will be disrupted (sector-by-sector) - in Jan. Week starting 10th",Not Open to Region,"Cairo, Egypt",No,"CORE event. Budget 10,000.",2026-11-01,TBD,YPO Cairo,
Social Media Marketing Event ,,,Lunch & Learn,Confirmed,Medium (15–50),Marketer + Gen Z creator,Confirmed,Business Growth,Entrepreneurship,Members,Learning,"* Case studies driven — show two Egyptian brands that got it right and two that got it wrong. 
* Gen Z creator alongside the marketer for generational contrast",Not Open to Region,"Cairo, Egypt (corporate venue of the member company that is sponsoring)",No,"CORE event. Budget 15,000. Member company to sponsor the resource.",,Natalie Ashba ,YPO Cairo,
YPO Gold - Estate planning,,,In the Boardroom,Planning Stage,Medium (15–50),Private Bank resource with a family lawyer,Wishlist,Generational Success,"Investing,Estate","Gold Members,Spouses (Mixed)",Learning,"* Pair the banker with a family lawyer who has handled messy successions — the cautionary voice.
* Optional spouse track or full-couple format",Not Open to Region,"Cairo, Egypt",No,"CORE event. Budget 5,000 ",,TBD,YPO Cairo,
YPO Gold - Family Business Succession,,,Experiences,Confirmed,Medium (15–50),Tharwat + next-gen family member,Confirmed,Generational Success,Family Business,Gold Members,Learning,"* Framed as ‘how to have the conversation’ rather than ‘how to structure the transition’.
* Next-gen family member from another business.
",Not Open to Region,"Cairo, Egypt",No,"Budget 10,000",,"Tamer Nassar
",YPO Cairo,
Longevity Live to the max ,,,Experiences,Confirmed,Large (50-100), (Longevity physician) + Nutritionist + Exercise physiologist,Under Negotiation,Personal Development,"Wellness,Longevity","Members,Spouses (Mixed)",Learning,"* Members should complete full-body MRI (Prenuvo-style) and comprehensive blood panels 6-8 weeks before the event
* Event day: a leading longevity physician (Peter Attia–style) reviews aggregate findings, then individual consultations, pair with a nutritionist and an exercise physiologist for actionable plans
* Each member leaves with a personal 10-year health roadmap
",Not Open to Region,"Cairo, Egypt",No,"CORE Event. Budget 20,000. Limitless naturals will sponsor ",,Riad Armanious / Nadine El Alaily,YPO Cairo,
Ladies Retreat,,October,Retreat,Confirmed,Medium (15–50),Dermatologist + Aesthetic medicine specialist + Hormones top specialist ,Under Negotiation,Personal Development,Wellness,"Female Members Only,Female Spouses",Learning,"* One night out of town (Sharm or Fayoum)
* Curate sessions across dermatology, aesthetic medicine, hormones in your 40s — top specialist
* Curated experience for the fun/ lighter side
* Storytelling circle: women in their 40s on reinvention
",Not Open to Region,"Sharm or Fayoum, Egypt",No,"CORE event. Budget 15,000",2026-08-15,Natalie Ashba,YPO Cairo,
"The Art of Desire: Intimacy, Eroticism & Human Connection",2027-02-14,February ,Fireside Chat,Confirmed,Medium (15–50),Mint El Mokadem (Somatic sexologist) + possibly Esther Perelman,Under Negotiation,Personal Development,Relationships,"Members,Spouses (Mixed)",Learning,"* Intimate, closed-door Valentine’s event followed by dinner.
* Edgy topic delivered with sensitivity and the right expert voice
* A talk, maybe with Q&A (Mint would develop the format)
",Not Open to Region,"Cairo ( Studio Samara), Egypt",No,"Budget USD 10,000. Giveaway gift idea: Esther Perel’s own board game",2026-12-14,Karin Abdullah / Ehab el Zorba,YPO Cairo,
What’s My Number — The Conversation No One Has at Parties,,,In the Boardroom,Planning Stage,Medium (15–50),Behavioural economist or wealth psychologist,Wishlist,Business Growth,Investing,Members,Learning,"* Closed-door, member-only frank workshop on what ‘enough’ actually means — for money, success, time. 
* Each member privately writes their number — net worth needed, years of work left, success markers — before any group discussion
* Structured peer rounds in groups of four — share what you’re willing to share
* Ends with each member writing one decision they’ll make differently in the next 12 months
",Not Open to Region,"Cairo, Egypt",No,"Budget 2,000",,TBD,YPO Cairo,
Library of Lost Wisdom,2026-06-24,,Experiences,Planning Stage,Medium (15–50),3 Elder family members (70+) ,Pending,Generational Success,Family Business,Members,"Learning,Connection","* Intergenerational salon where members bring a parent or grandparent to share 20 minutes of hard-won wisdom.
* Member homes as venue; intimate format, evening, simple meal
* Curated themes per evening: building a business in the 60s/70s, raising children through wars, family across borders
",Not Open to Region,"Cairo, Egypt",No,"CORE Event. Budget 2,000",,TBD,YPO Cairo,
AI - Part 2,,,Training,Planning Stage,Large (50-100),Mohamed Kamel,Confirmed,Business Innovation,AI & Technology,"Members,Family",Learning,"The anchor business-transformation. 
Part 2: AI plan for your business with HBS resource
* AI plan for your business with HBS resource (if sponsor pays)  — strategy workshop, each member leaves with a one-page plan
",Not Open to Region,"Cairo, Egypt ",No,"CORE event. Budget 10,000.",,TBD,YPO Cairo,
SAVE THE DATE | Investment Made Simple ,2026-08-20,August,Peer Learning Event (PLE),Confirmed,Medium (15–50),Mashal Khan,Confirmed,Business Growth,Finance,"Spouses (Mixed),YNG",Finance Professional Development Education/Learning,"Whether you’re completely new to investing or simply curious about how the stock market works, this interactive session will help you understand the fundamentals of investing, build financial confidence, and learn from one of Pakistan’s leading brokerage firms.",Not Open to Region,Karachi/Pakistan,No,,,Nissa Bukhari and Mehreen Bilal,YPO Capital Pakistan,
The AI CEO Decision Lab with Aman Merchant,2026-08-06,August,Learning ,Confirmed,Medium (15–50),Aman Merchant,Confirmed,Business Leadership,"AI & Technology,Technology","Members,Spouses (Mixed),Gold Members",Learning,"The AI CEO Decision Lab with Aman Merchant, an interactive session designed specifically for business leaders to explore the decisions AI should (and shouldn't) influence.
",Open to Region,"Pakistan, Karachi",No,,,Zeeshan Aftab,YPO Capital Pakistan,
EY MENA Economic Outlook,2026-09-09,September,Conference,Planning Stage,Small (10–15),EY,Under Negotiation,Business Leadership,Leadership,"Members,Spouses (Mixed),Gold Members",Learning,Ernst & Young YPO Partnerships Program,Not Open to Region,"Dubai, UAE",No,,2026-08-01,TBC,YPO Dubai Integrated,
Gold Fine Dining Event,2026-09-12,September,Experiences,Planning Stage,Medium (15–50),Chef,Pending,Adventures and Experiences,Other,"Gold Members,Spouses (Mixed)","Fun,Connection",Gold social in a fine dining restaurant,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Salim Dewji,YPO Dubai Integrated,
YPO Dubai Opening Party,2026-09-18,September,Chapter Opening/Closing Party,Confirmed,XXL (100+),,Confirmed,Adventures and Experiences,Other,"Members,Spouses (Mixed),Gold Members","Fun,Connection",The annual Chapter opening party,Not Open to Region,"Dubai, UAE",No,Invite external customer experience expert.,2026-08-01,,YPO Dubai Integrated,
"Sex, Intimacy and everything in between with Dr. Jess",2026-09-20,September,Other,Confirmed,Large (50-100),Dr Jess O'reilly,Confirmed,Personal Development,Relationships,"Members,Gold Members,Spouses (Mixed)","Learning,Connection",Exploring your relationship with your spouse or partner.,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Mona Ataya,YPO Dubai Integrated,
Happiness and AI with Mo Gawdat,2026-09-26,September,Fireside Chat,Confirmed,Large (50-100),Mo Gawdat,Confirmed,Personal Development,"AI & Technology,Mental Health,Leadership","Spouses (Mixed),Members,Gold Members",Learning,,Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,Nitesh Shewakramani,YPO Dubai Integrated,
Fireside Chat with Pablo Escobar's son,2026-10-02,October,Fireside Chat,Confirmed,XXL (100+),Sebastian Marroquin,Confirmed,Personal Development,"Other,Relationships","Members,Spouses (Mixed),Gold Members",Learning,Fireside chat and deep dive with the son of Pablo Escobar,Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,,YPO Dubai Integrated,
Petrus at the Pinnacle: An Iconic Tasting Experience at Burj Al Arab,2026-11-18,November,Experiences,Confirmed,Small (10–15),Eric Simonet,Confirmed,Personal Development,Other,"Gold Members,Spouses (Mixed)","Fun,Connection,Learning","An intimate evening with Petrus wines, fine dining, and elevated conversation at the very top of Burj Al Arab.",Not Open to Region,"Dubai, UAE",No,"In collaboration with Wine Network
",2026-08-01,Salim Dewji,YPO Dubai Integrated,
Sleep Optimisation tricks and tools,2026-11-19,November,Fireside Chat,Confirmed,XXL (100+),Dr. Michael Breus,Pending,Personal Development,Other,"Members,Spouses (Mixed)",Learning,"Sleep optimization strategies, tools, and insights from Dr. Michael Breus on leveraging your chronotype to maximise energy, performance, and wellbeing.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,"Nitesh Shewakramani
",YPO Dubai Integrated,
Scaling Excellence and the friction project,2026-12-12,December,Training,Confirmed,XXL (100+),Prof. Huggy Rao,Confirmed,Personal Development,"Other,Leadership","Members,Spouses (Mixed)",Learning,"Insights from Huggy Rao on scaling excellence, leading change, and building organizations that endure.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,"Hala Ghandour
",YPO Dubai Integrated,
Running Coach Event,2027-01-10,January,Other,Confirmed,Medium (15–50),Shane Benzie,Confirmed,Adventures and Experiences,Other,"Gold Members,Spouses (Mixed)","Fun,Connection",Physical workshop on running technique and training for long distance,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Salim Dewji,YPO Dubai Integrated,
Scale up with Verne Harnish,2026-10-22,October,Other,Confirmed,Large (50-100),Verne Harnish,Confirmed,Business Growth,Other,"Members,Spouses (Mixed)",Learning,"Insights from Verne Harnish on scaling companies through strategy, discipline, and execution excellence.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,,YPO Dubai Integrated,
"The Science of Mobility, Strength & Healthspan",2027-03-19,March,Other,Confirmed,Large (50-100),Dr. Vonda Wright,Under Negotiation,Personal Development,Other,"Spouses (Mixed),Members",Learning,"An insightful session on building mobility, strength, and long-term health with Vonda Wright.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,"Bianca Chalfoun
",YPO Dubai Integrated,
Geopolitics with Prof. John Mearsheimer ,2026-11-11,November,Virtual/Hybrid,Confirmed,Medium (15–50),Prof. John Mearsheimer ,Confirmed,Personal Development,Geopolitics,"Members,Spouses (Mixed)",Learning,"A thought-provoking session on geopolitics and great power rivalry with Professor John Mearsheimer, exploring how global power shifts are reshaping today’s world order.",Not Open to Region,"Dubai, UAE",Yes,,2026-08-01,Mona Ataya,YPO Dubai Integrated,
Henley & Partners,2026-10-13,October,Conference,Planning Stage,Small (10–15),Henley & Partners,Under Negotiation,Business Leadership,Leadership,"Members,Spouses (Mixed)",Learning,Henley & Partners YPO Partnerships Program,Not Open to Region,"Dubai, UAE",No,,2026-08-01,TBC,YPO Dubai Integrated,
Goldman Sachs - Investing and Market Insights,2026-11-03,November,Conference,Planning Stage,Medium (15–50),Goldman Sachs,Under Negotiation,Business Leadership,Leadership,"Members,Spouses (Mixed)",Learning,Goldman Sachs YPO Partnerships Program,Not Open to Region,"Dubai, UAE",No,,2026-08-01,TBC,YPO Dubai Integrated,
Harvard Debate Council,2026-12-02,December,Training,Planning Stage,Medium (15–50),Harvard Prof,Under Negotiation,Family Focus,Other,YNG,Learning,YNG learning public speaking and debate skills,Not Open to Region,"Dubai, UAE",No,,2026-08-01,Vandana Gandhi,YPO Dubai Integrated,
Next level leadership: the enneagram blueprint,2027-01-13,January,Fireside Chat,Confirmed,Small (10–15),Anesh Jagtiati,Confirmed,Personal Development,Relationships,"Members,Spouses (Mixed)",Learning,The Enneagram is a system that helps build empathy and connection as well as self-mastery/EQ/self-awareness,Not Open to Region,"Dubai, UAE",No,,2026-08-01,TBC,YPO Dubai Integrated,
Japanese Cooking Class & Kombucha,2027-01-07,January,Experiences,Planning Stage,Small (10–15),Haru Meghraj,Confirmed,Personal Development,Other,Spouses (Mixed),Learning,"Discover the art of Japanese cooking while learning to brew kombucha in a fun, hands-on culinary experience.",Not Open to Region,"Dubai, UAE",No,,2026-08-01,Haru Meghraj,YPO Dubai Integrated,
HBS Event,2025-09-24,September,Conference,Confirmed,XXL (100+),VG Narayanan,Confirmed,Business Innovation,"Entrepreneurship,Leadership","Spouses (Mixed),Members",Learning,Hands-on session that will transform your business perspective,Not Open to Region,"Dubai, UAE",Yes,,2025-08-24,Amit Dhamani,YPO Emirates,
50th Anniversary Celebration,2025-11-20,November,Social Event,Confirmed,XXL (100+),,,Personal Development,Other,"Members,Spouses (Mixed)","Fun,Connection",Celebrating 50 Years of YPO Emirates Integrated,Open to Region,"Dubai, UAE",No,Regional and Global Boards are invited,2025-09-01,Sascha Pietrek,YPO Emirates,
"The New World (dis)Order: Navigating Geopolitical Risk, Crisis, and Opportunity for Business",2026-09-25,September,Milestone Event,Confirmed,Large (50-100),Marco Vicenzino,Confirmed,Business Growth,"Investing,Geopolitics","Spouses (Mixed),Members,YNG",Learning,The Middle East is being repriced in real time — hear geopolitical strategist Marco Vicenzino break down what it means for your capital,Open to Region,Karachi Pakistan,Yes,Joint with YPO Pakistan,2026-08-29,TBC,YPO Gold Pakistan,
Stillness at Altitude,2026-10-07,October,Retreat,Planning Stage,Medium (15–50),TBC,Under Negotiation,Adventures and Experiences,Experiential,"Spouses (Mixed),Members",Connection,"Chapter health & wellness retreat- Four nights of deep restoration with world-class wellness therapists— bodywork, breath, movement, and silence — paired with farm-to-table cuisine drawn from Skardu's valleys. Skardu is located in Gilgit Baltistan.
",Not Open to Region,Skardu in Northern Pakistan,No,,2026-08-01,Mariam & Shehriar Ashraf and Imran Habib,YPO Gold Pakistan,
AI for the C-suite,2027-01-14,January,Training,Planning Stage,Large (50-100),Ross Hendin,Pending,Business Innovation,AI & Technology,"Spouses (Mixed),Members,YNG",Learning,A hands-on executive workshop designed to help C-suite leaders harness AI for strategic impact and growth.,Open to Region,"Karachi, Pakistan",Yes,Joint with YPO Pakistan,2026-12-01,Danish Iqbal,YPO Gold Pakistan,
"Yes, And ",2027-05-07,May,Experiences,Planning Stage,Medium (15–50),TBC,Pending,Personal Development,Creativity,"Members,Spouses (Mixed)",Experiential,"An engaging session that uses improv principles to strengthen leadership, creativity, and real-world business skills",Not Decided Yet,"Karachi, Pakistan",No,,2027-04-15,Shehriar Ashraf,YPO Gold Pakistan,
Economic Outlook: Navigating Risk & Opportunity in Todays Ecnomic Reality,2026-11-01,November,Conference,Planning Stage,Medium (15–50),"Federico Ceresole, Managing Director and leads the Portfolio Advisory Group in EMEA",Pending,Business Growth,"Investing,Leadership,Geopolitics,Sustainability","Members,Spouses (Mixed),YNG",Learning,latest Investment Strategy Group outlook and what it signals for decision-makers,Not Decided Yet,"Amman, Jordan",No,Q2,2026-10-01,Yousef & Dima Shamoun,YPO Jordan Integrated,
Factory visit,2026-10-21,October,Experiences,Scheduled,Medium (15–50),CEO,Confirmed,Business Innovation,Entrepreneurship,"Spouses (Mixed),YNG,Members",Learning,Hands-on workshop on new digital tools and platforms.,Open to Region,"Beirut, Lebanon",TBC,"innovative protein chips and bar, keynote and them tour
",,Othman Boodai,YPO Kuwait Integrated,
Session Actionable insights,2027-03-24,March,Conference,Planning Stage,Medium (15–50),Rob Follows,Under Negotiation,Business Growth,"Leadership,Finance",Members,Learning,24-hour hackathon with prizes for best solutions.,Open to Region,"Karachi, Pakistan",TBC,"Keynote by CEO, breakout sessions planned.",,"TBD

",YPO Kuwait Integrated,
HAPPINESS,2026-09-30,September,Conference,Scheduled,Medium (15–50),ROHIT,Confirmed,Personal Development,"Mental Health,Wellness","Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
ART AS AN INVESTMENT,2026-10-15,October,Conference,Scheduled,Medium (15–50),OUSSAMA RIFAI,Confirmed,Business Growth,Investing,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
PEPTIDES AND LONGEVITY,2026-10-22,October,Conference,Planning Stage,Medium (15–50),ELIAS CHABTINI,Pending,Personal Development,Longevity,"Members,Spouses (Mixed),Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
FROM RESILIENCE TO GROWTH,2026-11-18,November,Conference,Scheduled,Medium (15–50),MARIA KOUTSOVOULOU,Confirmed,Business Growth,Leadership,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
ART OF MIXOLOGY,2026-12-03,December,Social Event,Planning Stage,Medium (15–50),FAWZI ISSA,Confirmed,Adventures and Experiences,Other,"Members,Gold Members",Fun,,Not Open to Region,LEBANON,No,,,,YPO Lebanon,
SCALE UP,2027-01-12,January,Training,Scheduled,XXL (100+),VERNE HARNISH,Confirmed,Business Growth,Innovation,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,LEVANT,,,YPO Lebanon,
CYBER SECURITY,2027-01-28,January,Conference,Scheduled,Medium (15–50),KHALDOUN SERHAL,Confirmed,Business Growth,AI & Technology,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
GOVERNANCE,2027-02-11,February ,Conference,Scheduled,Medium (15–50),BADRI MEOUCHI,Confirmed,Business Leadership,Family Business,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
DESTROY YOUR OWN BUSINESS,2027-03-04,March,Conference,Scheduled,Medium (15–50),ALEXANDRE GEORGES,Confirmed,Business Growth,Innovation,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,LEVANT,,,YPO Lebanon,
WATCH AS AN ASSET,2027-04-15,April,Conference,Scheduled,Medium (15–50),CAMILLE MOUSSA,Confirmed,,Investing,"Members,Gold Members",Learning,,Open to Region,LEBANON,Yes,"LEVANT
",,,YPO Lebanon,
ELIE SAAB,,April,Fireside Chat,Planning Stage,Medium (15–50),ELIE SAAB,Confirmed,,Other,"Members,Gold Members",Learning,,Not Open to Region,LEBANON,No,,,,YPO Lebanon,
From Zero to Claude Code with Michele Chaar- Vijal institute,2026-09-28,September,Training,Scheduled,Medium (15–50),Michelle Chaar,Confirmed,Personal Development,AI & Technology,Members,Learning,Explore the transformative power of artificial intelligence through an engaging session with Vjal Institute. ,Not Open to Region,"Beirut, Lebanon",Yes,,,"TBD
",YPO Levant,
"Virtual #1 Dr. Wendy Troxel- Sleep Smarter, Live Longer",2026-10-12,October,Virtual/Hybrid,Scheduled,Medium (15–50),Dr. Wendy Troxel,Confirmed,Personal Development,Longevity,"Members,Spouses (Mixed)",,"Rise and shine- sleep smarter, live longer

",,Virtual,,,,"Omar Shallah
",YPO Levant,
"Healthier thinking, emotions and decisions with Dr. Naif Al Mutawa",2026-10-30,October,Conference,Scheduled,Medium (15–50),Dr. Naif al Mutawa,Confirmed,Personal Development,Mental Health,"Members,Spouses (Mixed)",Learning,"Join award-winning serial entrepreneur, clinical psychologist, and clinical hypnotherapist Dr. Naif Al-Mutawa for an immersive and transformative workshop exploring the power of Behavioral Therapy and Group Hypnotherapy.
",Open to Region,"Dubai, UAE",No,,,"TBD
",YPO Levant,
Investing in Tomorrow with Noor Sweid,2026-11-06,November,Fireside Chat,Scheduled,Medium (15–50),Noor Sweid,Confirmed,Business Growth,Investing,Members,Learning,"Start your day with an inspiring conversation featuring Noor Sweid, one of the region's leading investors and entrepreneurs. ",Not Open to Region,"Dubai, UAE",No,,,"Zaid Midani
",YPO Levant,
Calibre  88 watch making with IWC,2026-11-19,November,Roundtable,Planning Stage,Small (10–15),IWC,Under Negotiation,Business Growth,Creativity,"Members,Spouses (Mixed)",Fun,"Experience the art and precision of luxury watchmaking through an exclusive behind-the-scenes journey with Calibre 88. Members will discover the craftsmanship, heritage, and intricate mechanics that define the world of fine timepieces.",Not Open to Region,"Dubai, UAE",No,,,"TBD
",YPO Levant,
Virtual #2- AI with Wade Wyant- ,2026-12-11,December,Virtual/Hybrid,Confirmed,Medium (15–50),Wade Wyant,Confirmed,Personal Development,AI & Technology,"Members,Spouses (Mixed)",Learning,"Wade Wyant reframes AI not as another tool in the kit but as your Co-CEO, a partner that sharpens judgment, accelerates innovation, and transforms how you lead. Rather than focusing on features and functions, Wade speaks the language of CEOs and entrepreneurs, translating AI into board-level strategy and competitive advantage. Through real-world examples and practical insights, he shows YPO members how to harness AI as a trusted ally in decision-making, growth, and vision, equipping you to stay ahead while freeing time for what matters most.
",,Virtual,,,,,YPO Levant,
Virtual in the boardroom #3 Investing with Adam Khoo,2027-02-18,February ,Virtual/Hybrid,Planning Stage,Medium (15–50),Adam Khoo,Under Negotiation,Generational Success,Investing,"Members,Spouses (Mixed)",Learning,"Join renowned entrepreneur, investor, and bestselling author Adam Khoo for an exclusive virtual In The Boardroom session. ",Not Open to Region,Virtual,No,,,,YPO Levant,
Dr Jessica O’Reilly of Happier Couples Inc,2026-09-19,September,Experiences,Confirmed,Small (10–15),Dr Jess O'Reilly,Confirmed,Personal Development,"Wellness,Relationships","Members,Spouses (Mixed)","Learning,Fun,Connection","Turn the Lights Down Low — with Dr. Jess O'Reilly
An evening with renowned sexologist and relationship expert Dr. Jess O'Reilly, founder of Happier Couples. Dr. Jess has worked with thousands of couples across the globe, helping them transform their relationships through her practical, no-nonsense approach. She has received multiple ""Perfect 10"" ratings from YPO chapters worldwide, with members consistently citing her ability to discuss intimacy and connection with warmth, humour, and zero judgment. A true ""Only in YPO"" experience, designed to spark honest conversation between partners.",Not Open to Region,"Dubai , U.A.E",Yes,"For the Dr. Jess event. YPO Dubai, YPO MENA One, and our chapter MENA Gulf have decided to share the logistics cost for the event with Dr. Jess. Based on this, we have finalized the date with Dr. Jess as well.

If there are any other chapters who are interested in having Dr. Jess, we can add them to our WhatsApp group, so do let us know kindly.",2026-08-10,TBC ,YPO MENA Gulf Regional Integrated,
Event with Prof. Martin A. Sinozich (Finance) + Date Factory Tour,2026-09-28,September,Experiences,Scheduled,Medium (15–50),Prof. Martin A. Sinozich,Pending,Business Growth,Finance,Members,Learning,"A learning day combining a finance-focused session with Prof. Martin A. Sinozich, Senior Lecturer in the Entrepreneurial Management Unit at Harvard Business School, followed by a visit to a Date Factory.

Martin teaches Finance to CEOs and Managing Partners who own and operate family-owned firms, large and small, as part of HBS's Executive Education Owner/President Management Program. Before joining the HBS faculty, he worked in large financial institutions including Fidelity Investments, MBNA America Bank, and Prudential Home Mortgage, where he led innovation teams adopting new technologies into the corporate DNA, including developing some of the earliest internet capabilities at MBNA America Bank in 1995-96 and the first remote workforce capabilities at Fidelity Investments in 1998-99. 

A practical, owner-operator lens on finance, especially relevant for members running family businesses, paired with a hands-on, sensory experience at the Date Factory to round out the day.",Open to Region,"Dubai , UAE",TBC,,2026-09-01,,YPO MENA Gulf Regional Integrated,
